22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
30,,Alexander- Alejandra,1,F24 1095,LMF,Setaria ,sphacelata,Setaria sphacelata,B,1.0006,0.0005,1.0001,21.1,2.89,18.08,18.94965969,
31,,,2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,A,1.0004,0.0003,1.0001,26.4,3.746091688,23.41307305,25.3469484,25.3469484
32,,,2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,B,1.0004,0.0003,1.0001,26.4,3.746091688,23.41307305,25.3469484,
33,,,2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,A,1.0004,0.0003,1.0001,18.8,2.663570896,16.6473181,17.95515598,17.95515598
34,,,2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,B,1.0004,0.0003,1.0001,18.8,2.663570896,16.6473181,17.95515598,
35,,,2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,A,1.0006,0.0006,1,23.7,3.361848084,21.01155053,22.62704069,22.62704069
36,,,2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,B,1.0006,0.0006,1,23.7,3.361848084,21.01155053,22.62704069,
37,,,2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,A,1.0004,0.0002,1.0002,18.9,2.677546863,16.73466789,17.94095507,17.94095507
38,,,2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,B,1.0004,0.0002,1.0002,18.9,2.677546863,16.73466789,17.94095507,
39,,,2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,A,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.08537556,22.08537556
40,,,2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,B,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.08537556,
41,,,2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,A,1.0003,0.0003,1,26.4,3.746466297,23.41541436,25.72120617,25.72120617
42,,,2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,B,1.0003,0.0003,1,26.4,3.746466297,23.41541436,25.72120617,
43,,,2,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,A,1.0006,0.0006,1,26.6,3.774956535,23.59347834,25.77536281,25.77536281
